Организационно - правовая форма;Краткое наименование
Автономная некоммерческая организация;АНО
Автономное учреждение;АУ
Автотранспортное предприятие;АТП
Адвокатская палата;АП
Административный округ;АДОК
Акционерное общество;АО
Аптека;А-ка
Артель;Арт
Ассоциация;АС
Ассоциация крестьянских (фермерских) хозяйств;АСКФХ
Библиотека;Б-ка
Благотворительный фонд;БФ
Больница;Б-ца
Больница скорой помощи;БСП
Бюджетное учреждение;БУ
Внебюджетный фонд;ВБФ
Гаражно-строительный кооператив;ГСК
Гаражный кооператив;ГК
Государственное бюджетное учреждение;ГБУ
Государственное казенное учреждение;ГКУ
Государственное предприятие;ГП
Государственное унитарное предприятие;ГУП
Государственное учреждение;ГУЧ
Дачное товарищество;ДТ
Детский сад;Д/С
Дорожное (строительное) управление;Д(С)У
Духовное образовательное учреждение;ДОУч
Железная дорога;ЖД
Жилищно-строительный кооператив;ЖСК
Завод;З-д
Закрытое акционерное общество;ЗАО
Институт;Ин-т
Колхоз;КЛХ
Коммерческая фирма;КФ
Коммерческий банк;Комбанк
Коммерческий центр;КЦ
Компания;Комп
Конструкторское бюро;КБ
Кооператив;КООП
Корпорация;Корп
Кредитный союз;КС
Крестьянское (фермерское) хозяйство;КФХ
Крестьянское хозяйство;КХ
Личное подсобное хозяйство;ЛПХ
Малое предприятие;МП
Медсанчасть;МСЧ
Межгосударственная финансово – промышленная группа;МФПГ
Межотраслевой внебюджетный фонд;МВБД
Межхозяйственное предприятие;МХП
Миссия;Миссия
Монастырь;Монастырь
Муниципальное предприятие;МУП
Муниципальное казенное предприятие;МКП
Муниципальное унитарное предприятие;МУУП
Муниципальное учреждение;МУУЧ
Муниципальное казенное учреждение;МКУ
Муниципальное бюджетное учреждение;МБУ
Муниципальное учреждение;МУЧ
Научно – производственная фирма;НПФ
Научно – производственное объединение;НПО
Научно – производственное предприятие;НПП
Научно – технический центр;НТЦ
Некоммерческое партнерство;НП
Нотариальная контора;НОТК
Нотариальная Палата;НОТП
Обособленное подразделение;ОБП
Обособленное структурное подразделение;ОСП
Объединение крестьянских (фермерских) хозяйств;ОКФХ
Общероссийский профсоюз;Опроф
Общественная организация;ОО
Общественное движение;ОД
Общественное объединение;ООБ
Общественное учреждение;ОУЧ
Общественный фонд;ОФ
Общество с дополнительной ответственностью;ОДО
Общество с ограниченной ответственностью;ООО
Община;Община
Объединение предприятий;ОП
Объединение фермерских хозяйств;ОФХ
Огородническое товарищество;ОТ
Орган общественной самодеятельности;ООС
Отделение;ОТД
Открытое акционерное общество;ОАО
Отраслевой внебюджетный фонд;ОВБД
Паевой инвестиционный фонд;ПИФ
Партия;Партия
Пассажирское автотранспортное предприятие;ПАТП
Первичная профсоюзная организация;ППО
Поликлиника;П-ка
Полное товарищество;ПТ
Потребительский кооператив;ПТК
Потребительский союз;ПС
Потребительское общество;ПОБ
Предприятие общественной организации;ПОО
Предприятие потребительской кооперации;ППКООП
Представительство;ПРЕД
Приход;Приход
Производственное объединение;ПО
Производственно – коммерческая компания;ПКК
Производственно – коммерческая фирма;ПКФ
Производственно – коммерческое предприятие;ПКП
Производственный кооператив;ПК
Простое товарищество;ПрТ
Профсоюзный комитет;ПРОФКОМ
Редакция средств массовой информации;РедСМИ
Религиозная организация;РО
Религиозное общество;РОБ
Ремонтно – строительное управление;РСУ
Ремонтно – эксплуатационное управление;РЭУ
Садоводческое товарищество;СТ
Сельскохозяйственный кооператив;СХК
Сельскохозяйственный потребительский кооператив;СХПК
Семейное предприятие;СЕМ
Смешанное товарищество;СМТ
Совместное предприятие;СП
Совхоз;СВХ
Союз;Союз
Союз крестьянских (фермерских) хозяйств;СоюзКФХ
Союз потребительских обществ;СоюзПОБ
Специализированное конструкторское бюро;СКБ
Строительно – монтажное управление;СМУ
Структурное подразделение;СТП
Территориальная организация профсоюза;ТОПроф
Территориальное общественное самоуправление;ТОС
Товарищество на вере;ТВ
Товарищество собственников жилья;ТСЖ
Торговая фирма;ТФ
Торгово-промышленная палата;ТПП
Торговый дом;ТД
Транснациональная финансово – промышленная группа;ТФПГ
Управление производственно – технической комплектации;УПТК
Учреждение;Уч
Учреждение потребительской кооперации;УЧПТК
Учреждение общественной организации;УОО
Федеральное государственное унитарное предприятие;ФГУП
Федеральное казенное предприятие;ФКП
Федеральное бюджетное учреждение;ФБУ
Федеральное государственное учреждение;ФГУ
Федеральное государственное бюджетное учреждение;ФГБУ
Федеральное казенное учреждение;ФКУ
Филиал;ФЛ
Филиал фонда;ФФ
Финансово – инвестиционная компания;ФИК
Финансово – промышленная группа;ФПГ
Финансовый отдел;ФИНОТДЕЛ
Фирма;Фирма
Фонд;Фонд
Хозяйственное управление;ХОЗУ
Церковь;Церковь
Централизованная бухгалтерия;ЦБУХ
Централизованная районная бухгалтерия;ЦРБУХ
Центральная районная больница;ЦРБ
Центр досуга населения;ЦДН
Частное охранное предприятие;ЧОП
Частное учреждение;ЧУ
Чековый инвестиционный фонд;ЧИФ
Школа;Школа
Ясли – сад;Я/С
